Element,Wavelength,Intensity,Strength,On,Reference
Ne II,2007.009,80,,True,P71
Ne II,2025.56,80,,True,P71
Ne II,2085.466,150,,True,P71
Ne II,2096.106,200,,True,P71
Ne II,2096.248,120,,True,P71
Ne II,2562.123,80,,True,P71
Ne II,2567.121,90,w,True,P71
Ne II,2623.107,80,,True,P71
Ne II,2629.885,80,,True,P71
Ne II,2636.069,90,w,True,P71
Ne II,2638.289,80,,True,P71
Ne II,2644.097,80,,True,P71
Ne II,2762.921,80,,True,P71
Ne II,2792.019,90,,True,P71
Ne II,2794.221,80,,True,P71
Ne II,2809.485,100,,True,P71
Ne II,2906.592,80,,True,P71
Ne II,2906.816,80,,True,P71
Ne II,2910.061,90,,True,P71
Ne II,2910.408,90,,True,P71
Ne II,2911.138,80,,True,P71
Ne II,2915.122,80,,True,P71
Ne II,2925.618,80,,True,P71
Ne II,2932.103,80,w,True,P71
Ne II,2940.653,80,,True,P71
Ne II,2946.044,90,,True,P71
Ne II,2955.725,150,,True,P71
Ne II,2963.236,150,,True,P71
Ne II,2967.184,150,,True,P71
Ne II,2972.997,100,,True,P71
Ne I,2974.7189,30,,True,SS04
Ne II,2979.461,100,,True,P71
Ne I,2982.6696,30,,True,SS04
Ne II,3001.668,150,,True,P71
Ne II,3017.311,120,,True,P71
Ne II,3027.016,300,P,True,P71
Ne II,3028.864,300,P,True,P71
Ne II,3030.787,100,,True,P71
Ne II,3034.461,120,,True,P71
Ne II,3035.923,100,,True,P71
Ne II,3037.72,100,,True,P71
Ne II,3039.586,100,,True,P71
Ne II,3044.088,100,,True,P71
Ne II,3045.556,100,,True,P71
Ne II,3047.556,120,,True,P71
Ne II,3054.345,100,,True,P71
Ne II,3054.677,100,,True,P71
Ne I,3057.3907,30,,True,SS04
Ne II,3059.106,100,,True,P71
Ne II,3062.491,100,,True,P71
Ne II,3063.301,100,,True,P71
Ne II,3070.887,100,,True,P71
Ne II,3071.529,100,,True,P71
Ne II,3075.731,100,,True,P71
Ne II,3088.166,120,,True,P71
Ne II,3092.092,100,,True,P71
Ne II,3092.901,120,,True,P71
Ne II,3094.006,100,,True,P71
Ne II,3095.103,100,,True,P71
Ne II,3097.131,100,,True,P71
Ne II,3117.98,100,,True,P71
Ne II,3118.16,120,,True,P71
Ne II,3141.332,300,,True,P71
Ne II,3143.721,100,,True,P71
Ne II,3148.681,100,,True,P71
Ne II,3164.429,100,,True,P71
Ne II,3165.648,100,,True,P71
Ne II,3188.743,100,,True,P71
Ne II,3194.579,120,,True,P71
Ne II,3198.586,500,P,True,P71
Ne II,3208.965,60,,True,P71
Ne II,3209.356,120,,True,P71
Ne II,3213.735,120,,True,P71
Ne II,3214.329,150,,True,P71
Ne II,3218.193,150,,True,P71
Ne II,3224.818,120,,True,P71
Ne II,3229.573,120,,True,P71
Ne II,3230.07,200,,True,P71
Ne II,3230.419,120,,True,P71
Ne II,3232.022,120,,True,P71
Ne II,3232.372,150,,True,P71
Ne II,3243.396,100,,True,P71
Ne II,3244.095,100,,True,P71
Ne II,3248.345,100,,True,P71
Ne II,3250.355,100,,True,P71
Ne II,3297.726,150,,True,P71
Ne II,3309.74,150,,True,P71
Ne II,3319.722,300,,True,P71
Ne II,3323.745,1000,P,True,P71
Ne II,3327.153,150,,True,P71
Ne II,3329.158,100,,True,P71
Ne II,3334.836,200,,True,P71
Ne II,3344.395,150,,True,P71
Ne II,3345.453,300,,True,P71
Ne II,3345.829,150,,True,P71
Ne II,3355.016,200,,True,P71
Ne II,3357.82,120,,True,P71
Ne II,3360.597,200,,True,P71
Ne II,3362.161,120,,True,P71
Ne II,3362.707,100,,True,P71
Ne II,3367.218,120,,True,P71
Ne I,3369.8076,50,,True,SS04
Ne I,3369.9072,70,,True,SS04
Ne II,3371.799,100,,True,P71
Ne II,3378.216,500,P,True,P71
Ne II,3388.417,150,,True,P71
Ne II,3388.945,120,,True,P71
Ne II,3392.798,300,,True,P71
Ne II,3404.822,100,,True,P71
Ne II,3406.947,120,,True,P71
Ne II,3413.148,100,,True,P71
Ne II,3416.914,120,,True,P71
Ne II,3417.688,120,,True,P71
Ne I,3417.9031,50,,True,SS04
Ne I,3418.0055,5,,True,SS04
Ne II,3428.687,120,,True,P71
Ne I,3447.7024,20,,True,SS04
Ne I,3454.1944,10,,True,SS04
Ne II,3456.61,100,,True,P71
Ne II,3459.321,100,,True,P71
Ne I,3460.5237,10,,True,SS04
Ne I,3464.3382,10,,True,SS04
Ne I,3466.5781,20,,True,SS04
Ne I,3472.5706,50,,True,SS04
Ne II,3479.519,150,,True,P71
Ne II,3480.718,200,,True,P71
Ne II,3481.933,200,,True,P71
Ne I,3498.0636,10,,True,SS04
Ne I,3501.2159,20,,True,SS04
Ne I,3515.1902,20,,True,SS04
Ne I,3520.4711,100,P,True,SS04
Ne II,3542.847,120,,True,P71
Ne II,3557.805,120,,True,P71
Ne II,3561.198,100,,True,P71
Ne II,3568.502,250,,True,P71
Ne II,3574.181,100,,True,P71
Ne II,3574.612,200,,True,P71
Ne I,3593.5257,50,,True,SS04
Ne I,3593.6389,30,,True,SS04
Ne I,3600.1685,10,,True,SS04
Ne I,3633.664,10,,True,SS04
Ne II,3643.927,150,,True,P71
Ne II,3664.073,200,,True,P71
Ne I,3682.2421,10,,True,SS04
Ne I,3685.7352,10,,True,SS04
Ne II,3694.213,200,,True,P71
Ne I,3701.2244,4,,True,SS04
Ne II,3709.622,150,,True,P71
Ne II,3713.079,250,,True,P71
Ne II,3727.107,250,,True,P71
Ne II,3766.259,800,P,True,P71
Ne II,3777.133,1000,P,True,P71
Ne II,3818.427,100,,True,P71
Ne II,3829.749,120,,True,P71
Ne II,4219.745,150,,True,P71
Ne II,4233.85,100,,True,P71
Ne II,4250.649,120,,True,P71
Ne II,4369.862,120,,True,P71
Ne II,4379.4,70,,True,P71
Ne II,4379.55,150,,True,P71
Ne II,4385.059,100,,True,P71
Ne II,4391.991,200,,True,P71
Ne II,4397.99,150,,True,P71
Ne II,4409.299,150,,True,P71
Ne II,4413.215,100,,True,P71
Ne II,4421.389,100,,True,P71
Ne II,4428.516,100,,True,P71
Ne II,4428.634,100,,True,P71
Ne II,4430.904,150,,True,P71
Ne II,4430.942,150,,True,P71
Ne II,4457.049,120,,True,P71
Ne II,4522.72,100,,True,P71
Ne I,4537.7545,100,,True,SS04
Ne II,4569.057,100,,True,P71
Ne I,4704.3949,150,,True,SS04
Ne I,4708.8594,120,,True,SS04
Ne I,4710.065,100,,True,SS04
Ne I,4712.0633,150,,True,SS04
Ne I,4715.344,150,,True,SS04
Ne I,4752.732,50,,True,SS04
Ne I,4788.9258,100,,True,SS04
Ne I,4790.2195,50,,True,SS04
Ne I,4827.338,100,,True,SS04
Ne I,4884.917,100,,True,SS04
Ne I,5005.1587,50,,True,SS04
Ne I,5037.7512,50,,True,SS04
Ne I,5144.9384,50,,True,SS04
Ne I,5330.7775,60,,True,SS04
Ne I,5341.0938,100,,True,SS04
Ne I,5343.2834,60,,True,SS04
Ne I,5400.5618,200,P,True,SS04
Ne I,5562.7662,50,,True,SS04
Ne I,5656.6588,50,,True,SS04
Ne I,5719.2248,50,,True,SS04
Ne I,5748.2985,50,,True,SS04
Ne I,5764.4188,70,,True,SS04
Ne I,5804.4496,50,,True,SS04
Ne I,5820.1558,50,,True,SS04
Ne I,5852.4879,200,P,True,SS04
Ne I,5872.8275,50,,True,SS04
Ne I,5881.8952,100,,True,SS04
Ne I,5902.4623,5,,True,SS04
Ne I,5906.4294,5,,True,SS04
Ne I,5944.8342,50,,True,SS04
Ne I,5965.471,50,,True,SS04
Ne I,5974.6273,50,,True,SS04
Ne I,5975.534,60,,True,SS04
Ne I,5987.9074,15,,True,SS04
Ne I,6029.9969,100,P,True,SS04
Ne I,6074.3377,100,P,True,SS04
Ne I,6096.1631,30,,True,SS04
Ne I,6128.4499,10,,True,SS04
Ne I,6143.0626,100,P,True,SS04
Ne I,6163.5939,100,P,True,SS04
Ne I,6182.146,15,,True,SS04
Ne I,6217.2812,100,P,True,SS04
Ne I,6266.495,100,P,True,SS04
Ne I,6304.7889,10,,True,SS04
Ne I,6328.1646,30,,True,SS04
Ne I,6334.4278,100,,True,SS04
Ne I,6382.9917,100,P,True,SS04
Ne I,6402.248,200,P,True,SS04
Ne I,6506.5281,150,P,True,SS04
Ne I,6532.8822,10,,True,SS04
