    7    c    ,2385.40         ,He II     ,GM65
    9    c    ,2511.20         ,He II     ,GM65
    1         ,2723.19         ,He I      ,M60a
   12    c    ,2733.30         ,He II     ,GM65
    2         ,2763.80         ,He I      ,M60a
   10         ,2818.2          ,He I      ,BDD72
    4         ,2829.08         ,He I      ,M60a
   10         ,2945.11         ,He I      ,M60a
   40         ,3013.7          ,He I      ,BDD72
   20         ,3187.74         ,He I      ,M60a
   15    c    ,3203.10         ,He II     ,GM65
    1         ,3354.55         ,He I      ,M60a
    2         ,3447.59         ,He I      ,M60a
    1         ,3587.27         ,He I      ,M60a
    3         ,3613.64         ,He I      ,M60a
    2         ,3634.23         ,He I      ,M60a
    3         ,3705.00         ,He I      ,M60a
    1         ,3732.86         ,He I      ,M60a
   10         ,3819.607        ,He I      ,M60a
    1         ,3819.76         ,He I      ,M60a
   60    P    ,3888.6046       ,He I      ,M02
  200    P    ,3888.6456       ,He I      ,M02
  300    P    ,3888.6489       ,He I      ,M02
   20         ,3964.729        ,He I      ,M60a
    1         ,4009.27         ,He I      ,M60a
   50         ,4026.191        ,He I      ,M60a
    5         ,4026.36         ,He I      ,M60a
   12         ,4120.82         ,He I      ,M60a
    2         ,4120.99         ,He I      ,M60a
    3         ,4143.76         ,He I      ,M60a
   10         ,4387.929        ,He I      ,M60a
    3         ,4437.55         ,He I      ,M60a
  200         ,4471.479        ,He I      ,M60a
   25         ,4471.68         ,He I      ,M60a
    4    Pc   ,4685.3769       ,He II     ,MK00b
    3    Pc   ,4685.4072       ,He II     ,MK00b
   15*   Pc   ,4685.7038       ,He II     ,MK00b
   15*   Pc   ,4685.7044       ,He II     ,MK00b
   12    Pc   ,4685.8041       ,He II     ,MK00b
   30         ,4713.146        ,He I      ,M60a
    4         ,4713.38         ,He I      ,M60a
   20         ,4921.931        ,He I      ,M60a
  100         ,5015.678        ,He I      ,M60a
   10         ,5047.74         ,He I      ,M60a
    5    c    ,5411.52         ,He II     ,GM65
  500    P    ,5875.6148       ,He I      ,M02
  250    P    ,5875.6404       ,He I      ,M02
  120    P    ,5875.9663       ,He I      ,M02
    8    c    ,6560.10         ,He II     ,GM65
  200    P    ,6678.1517       ,He I      ,M02
    3         ,6867.48         ,He I      ,M60a
  100    P    ,7065.1771       ,He I      ,M02
   60    P    ,7065.2153       ,He I      ,M02
   20    P    ,7065.7086       ,He I      ,M02
   50         ,7281.35         ,He I      ,M60a
    1         ,7816.15         ,He I      ,M60a
    2         ,8361.69         ,He I      ,M60a
    2         ,9063.27         ,He I      ,M60a
    2         ,9210.34         ,He I      ,M60a
   10         ,9463.61         ,He I      ,M60a
    4         ,9516.60         ,He I      ,M60a
    3         ,9526.17         ,He I      ,M60a
    1         ,9529.27         ,He I      ,M60a
    1         ,9603.42         ,He I      ,M60a
    3         ,9702.60         ,He I      ,M60a
    6         ,10027.73        ,He I      ,M60a
    2         ,10031.16        ,He I      ,M60a
   15    c    ,10123.6         ,He II     ,GM65
    1         ,10138.50        ,He I      ,M60a
   10         ,10311.23        ,He I      ,M60a
    2         ,10311.54        ,He I      ,M60a
    3         ,10667.65        ,He I      ,M60a
  150    P    ,10829.0911      ,He I      ,M02
  500    P    ,10830.2501      ,He I      ,M02
 1000    P    ,10830.3398      ,He I      ,M02
    9         ,10913.05        ,He I      ,L70a
    3         ,10917.10        ,He I      ,L70a
    4    c    ,11626.4         ,He II     ,GM65
   30         ,11969.12        ,He I      ,L70a
   20         ,12527.52        ,He I      ,L70a
   50         ,12784.99        ,He I      ,L70a
   20         ,12790.57        ,He I      ,L70a
    7         ,12845.96        ,He I      ,L70a
   10         ,12968.45        ,He I      ,L70a
    2         ,12984.89        ,He I      ,L70a
   12         ,15083.64        ,He I      ,L70a
  200         ,17002.47        ,He I      ,L70a
    1         ,18555.55        ,He I      ,M60a
    6    c    ,18636.8         ,He II     ,GM65
  500         ,18685.34        ,He I      ,L70a
  200         ,18697.23        ,He I      ,L70a
  100         ,19089.38        ,He I      ,L70a
   20         ,19543.08        ,He I      ,L70a
  500    P    ,20581.287       ,He I      ,M02
   80         ,21120.07        ,He I      ,L70a
   10         ,21121.43        ,He I      ,L70a
   20         ,21132.03        ,He I      ,L70a
    3    c    ,30908.5         ,He II     ,GM65
    4         ,40478.90        ,He I      ,L70a
