   2  , 2420.456 , Ar II, N73
   3  , 2516.789 , Ar II, N73
   3  , 2534.709 , Ar II, N73
   5  , 2562.087 , Ar II, N73
   8  , 2891.612 , Ar II, N73
  70  , 2942.893 , Ar II, N73
  30  , 2979.050 , Ar II, N73
  15  , 3033.508 , Ar II, N73
  15  , 3093.402 , Ar II, N73
   7  , 3243.689 , Ar II, N73
   8  , 3293.640 , Ar II, N73
   7  , 3307.228 , Ar II, N73
   8  , 3350.924 , Ar II, N73
   8  , 3376.436 , Ar II, N73
   8  , 3388.531 , Ar II, N73
  25  , 3476.747 , Ar II, N73
   7  , 3478.232 , Ar II, N73
  15  , 3491.244 , Ar II, N73
  30  , 3491.536 , Ar II, N73
  25  , 3509.778 , Ar II, N73
  25  , 3514.388 , Ar II, N73
  25  , 3545.596 , Ar II, N73
  25  , 3545.845 , Ar II, N73
  30  , 3559.508 , Ar II, N73
  30  , 3561.030 , Ar II, N73
  25  , 3576.616 , Ar II, N73
   8  , 3581.608 , Ar II, N73
  15  , 3582.355 , Ar II, N73
  25  , 3588.441 , Ar II, N73
   8  , 3622.138 , Ar II, N73
   7  , 3639.833 , Ar II, N73
  12  , 3718.206 , Ar II, N73
  25  , 3729.309 , Ar II, N73
  15  , 3737.889 , Ar II, N73
  50  , 3765.270 , Ar II, N73
  15  , 3766.119 , Ar II, N73
   1  , 3770.369 , Ar I , N73
   7  , 3770.520 , Ar II, N73
   8  , 3780.840 , Ar II, N73
   8  , 3803.172 , Ar II, N73
  15  , 3809.456 , Ar II, N73
  25  , 3850.581 , Ar II, N73
  12  , 3868.528 , Ar II, N73
  12  , 3925.719 , Ar II, N73
  15  , 3928.623 , Ar II, N73
   8  , 3932.547 , Ar II, N73
  25  , 3946.097 , Ar II, N73
   1  , 3948.979 , Ar I , N73
   7  , 3979.356 , Ar II, N73
  12  , 3994.792 , Ar II, N73
  15  , 4013.857 , Ar II, N73
  15  , 4033.809 , Ar II, N73
   7  , 4035.460 , Ar II, N73
  50  , 4042.894 , Ar II, N73
   1  , 4044.418 , Ar I , N73
  30  , 4052.921 , Ar II, N73
  70  , 4072.005 , Ar II, N73
  25  , 4072.385 , Ar II, N73
   8  , 4076.628 , Ar II, N73
  12  , 4079.574 , Ar II, N73
   8  , 4082.387 , Ar II, N73
  50  , 4103.912 , Ar II, N73
 100  , 4131.724 , Ar II, N73
  12  , 4156.086 , Ar II, N73
  11  , 4158.590 , Ar I , N73
   1  , 4164.180 , Ar I , N73
  12  , 4179.297 , Ar II, N73
   1  , 4181.884 , Ar I , N73
   3  , 4190.713 , Ar I , N73
   1  , 4191.029 , Ar I , N73
   6  , 4198.317 , Ar I , N73
  11  , 4200.674 , Ar I , N73
   8  , 4218.665 , Ar II, N73
   8  , 4222.637 , Ar II, N73
   8  , 4226.988 , Ar II, N73
  30  , 4228.158 , Ar II, N73
  30  , 4237.220 , Ar II, N73
   1  , 4251.185 , Ar I , N73
   6  , 4259.362 , Ar I , N73
   3  , 4266.286 , Ar I , N73
  25  , 4266.527 , Ar II, N73
   4  , 4272.169 , Ar I , N73
 200 P, 4277.528 , Ar II, N73
   7  , 4282.898 , Ar II, N73
   3  , 4300.101 , Ar I , N73
   8  , 4300.650 , Ar II, N73
  25  , 4309.239 , Ar II, N73
  70  , 4331.200 , Ar II, N73
  15  , 4332.030 , Ar II, N73
   3  , 4333.561 , Ar I , N73
   1  , 4335.338 , Ar I , N73
   1  , 4345.168 , Ar I , N73
 250 P, 4348.064 , Ar II, N73
  15  , 4352.205 , Ar II, N73
   8  , 4362.066 , Ar II, N73
  15  , 4367.832 , Ar II, N73
  70  , 4370.753 , Ar II, N73
  25  , 4371.329 , Ar II, N73
  15  , 4375.954 , Ar II, N73
  50  , 4379.667 , Ar II, N73
  15  , 4385.057 , Ar II, N73
  25  , 4400.097 , Ar II, N73
  70  , 4400.986 , Ar II, N73
 130  , 4426.001 , Ar II, N73
  50  , 4430.189 , Ar II, N73
  15  , 4430.996 , Ar II, N73
  15  , 4433.838 , Ar II, N73
   7  , 4439.461 , Ar II, N73
  12  , 4448.879 , Ar II, N73
  30  , 4474.759 , Ar II, N73
  70  , 4481.811 , Ar II, N73
   3  , 4510.733 , Ar I , N73
   1  , 4522.323 , Ar I , N73
   7  , 4530.552 , Ar II, N73
 130  , 4545.052 , Ar II, N73
   7  , 4564.405 , Ar II, N73
 130  , 4579.350 , Ar II, N73
 130  , 4589.898 , Ar II, N73
 200 P, 4609.567 , Ar II, N73
  12  , 4637.233 , Ar II, N73
 130  , 4657.901 , Ar II, N73
   7  , 4721.591 , Ar II, N73
 200 P, 4726.868 , Ar II, N73
  15  , 4732.053 , Ar II, N73
 100  , 4735.906 , Ar II, N73
 250 P, 4764.865 , Ar II, N73
 200 P, 4806.020 , Ar II, N73
  50  , 4847.810 , Ar II, N73
  15  , 4865.910 , Ar II, N73
 250 P, 4879.864 , Ar II, N73
  25  , 4889.042 , Ar II, N73
   7  , 4904.752 , Ar II, N73
  12  , 4933.209 , Ar II, N73
  70  , 4965.080 , Ar II, N73
  15  , 5009.334 , Ar II, N73
  25  , 5017.163 , Ar II, N73
  25  , 5062.037 , Ar II, N73
   7  , 5090.495 , Ar II, N73
  30  , 5141.783 , Ar II, N73
  25  , 5145.308 , Ar II, N73
   8  , 5165.773 , Ar II, N73
   1  , 5187.746 , Ar I , N73
   7  , 5216.814 , Ar II, N73
   1  , 5495.874 , Ar I , N73
   1  , 5558.702 , Ar I , N73
   1  , 5606.733 , Ar I , N73
   1  , 5650.704 , Ar I , N73
   1  , 5888.584 , Ar I , N73
   1  , 5912.085 , Ar I , N73
   2  , 6032.127 , Ar I , N73
   1  , 6043.223 , Ar I , N73
   1  , 6059.372 , Ar I , N73
  30  , 6114.923 , Ar II, N73
  50  , 6172.278 , Ar II, N73
   8  , 6243.120 , Ar II, N73
   1  , 6384.717 , Ar I , N73
   2  , 6416.307 , Ar I , N73
   8  , 6483.082 , Ar II, N73
   8  , 6638.221 , Ar II, N73
   7  , 6639.740 , Ar II, N73
  15  , 6643.698 , Ar II, N73
   8  , 6666.359 , Ar II, N73
   3  , 6677.282 , Ar I , N73
  12  , 6684.293 , Ar II, N73
   4  , 6752.834 , Ar I , N73
   7  , 6861.269 , Ar II, N73
   4  , 6871.289 , Ar I , N73
   1  , 6937.664 , Ar I , N73
 300 P, 6965.431 , Ar I , N73
   4  , 7030.251 , Ar I , N73
 300 P, 7067.218 , Ar I , N73
   3  , 7068.736 , Ar I , N73
   1  , 7107.478 , Ar I , N73
   1  , 7125.820 , Ar I , N73
  30  , 7147.042 , Ar I , N73
   2  , 7206.980 , Ar I , N73
  60  , 7272.936 , Ar I , N73
   1  , 7311.716 , Ar I , N73
   1  , 7316.005 , Ar I , N73
   2  , 7353.293 , Ar I , N73
   6  , 7372.118 , Ar I , N73
   7  , 7380.426 , Ar II, N73
 300  , 7383.980 , Ar I , N73
   1  , 7392.980 , Ar I , N73
   1  , 7435.368 , Ar I , N73
 600 P, 7503.869 , Ar I , N73
 400  , 7514.652 , Ar I , N73
 700 P, 7635.106 , Ar I , N73
 400  , 7723.761 , Ar I , N73
 300  , 7724.207 , Ar I , N73
 600 P, 7948.176 , Ar I , N73
 600 P, 8006.157 , Ar I , N73
 700 P, 8014.786 , Ar I , N73
 600 P, 8103.693 , Ar I , N73
1000 P, 8115.311 , Ar I , N73
 300  , 8264.522 , Ar I , N73
   1  , 8392.27  , Ar I , M73
 400  , 8408.210 , Ar I , N73
 600  , 8424.648 , Ar I , N73
 400  , 8521.442 , Ar I , N73
 130  , 8667.944 , Ar I , N73
